Proposal,Observation,Data Type,Intent,Instrument,Filter,Moving,Polygon Boundary,Exposure Start,Exposure End,Level 2 Members,Asteroids,Datalabs
1024,jw01024-o005_t002_miri_f1500w,image,science,MIRI/IMAGE,F1500W,No,Polygon 80.45502442399976 -69.48704423600013 80.5013940259998 -69.51498846200005 80.42011747400026 -69.53149970600005 80.37381823399976 -69.50353393700016,2022-05-01 17:07:12.932,2022-05-01 17:30:42.677,"jw01024005001_02101_00001_mirimage, jw01024005001_02101_00002_mirimage, jw01024005001_02101_00003_mirimage, jw01024005001_02101_00004_mirimage",,True
1024,jw01024-o006_t002_miri_f1500w,image,science,MIRI/IMAGE,F1500W,No,Polygon 80.45509735899975 -69.48708504700008 80.50131053699974 -69.51493826699995 80.42000291399977 -69.5314538710002 80.3738599039998 -69.50357917199976,2022-05-01 17:37:41.730,2022-05-01 18:01:05.907,"jw01024006001_02101_00001_mirimage, jw01024006001_02101_00002_mirimage, jw01024006001_02101_00003_mirimage, jw01024006001_02101_00004_mirimage",,True
1024,jw01024-o007_t002_miri_f2550w,image,science,MIRI/IMAGE,F2550W,No,Polygon 80.45549569600018 -69.48671676700003 80.50272017500025 -69.51517485700009 80.42139712600027 -69.53169647099989 80.37424434000019 -69.50321642900025,2022-05-01 18:09:25.408,2022-05-01 18:32:55.217,"jw01024007001_02101_00001_mirimage, jw01024007001_02101_00002_mirimage, jw01024007001_02101_00003_mirimage, jw01024007001_02101_00004_mirimage",,True
1024,jw01024-o008_t002_miri_f2550w,image,science,MIRI/IMAGE,F2550W,No,Polygon 80.45597371900017 -69.48675657899993 80.50290824199999 -69.51504327799991 80.42090412400022 -69.53170107100014 80.374041469 -69.50339237199992,2022-05-01 18:39:54.206,2022-05-01 19:03:23.951,"jw01024008001_02101_00001_mirimage, jw01024008001_02101_00002_mirimage, jw01024008001_02101_00003_mirimage, jw01024008001_02101_00004_mirimage",,True
1024,jw01024-o009_t002_miri_f560w,image,science,MIRI/IMAGE,F560W,No,Polygon 80.45500360999979 -69.48733463700007 80.50052004600018 -69.51476647400006 80.42075727199983 -69.53096961399996 80.37530862399983 -69.50351702300014,2022-05-01 19:11:54.589,2022-05-01 19:35:32.653,"jw01024009001_02101_00001_mirimage, jw01024009001_02101_00002_mirimage, jw01024009001_02101_00003_mirimage, jw01024009001_02101_00004_mirimage",,True
1024,jw01024-o010_t002_miri_f1130w,image,science,MIRI/IMAGE,F1130W,No,Polygon 80.45507192600024 -69.48733734499973 80.50049118000027 -69.51471216300006 80.42065137999991 -69.53093003300002 80.3752998420001 -69.50353448499993,2022-05-01 19:43:30.011,2022-05-01 20:06:51.436,"jw01024010001_02101_00001_mirimage, jw01024010001_02101_00002_mirimage, jw01024010001_02101_00003_mirimage, jw01024010001_02101_00004_mirimage",,True
1024,jw01024-o011_t002_miri_f1280w,image,science,MIRI/IMAGE,F1280W,No,Polygon 80.45473902700006 -69.48720070500029 80.50104668 -69.51510876100023 80.42137232899998 -69.53129424199972 80.37513356299993 -69.50336509499992,2022-05-01 20:14:18.201,2022-05-01 20:37:42.442,"jw01024011001_02101_00001_mirimage, jw01024011001_02101_00002_mirimage, jw01024011001_02101_00003_mirimage, jw01024011001_02101_00004_mirimage",,True
1024,jw01024-o012_t002_miri_f1800w,image,science,MIRI/IMAGE,F1800W,No,Polygon 80.45497434200009 -69.48719531999973 80.50117876600024 -69.51504253600007 80.42119154900007 -69.53129069900004 80.37505613599993 -69.50342235700013,2022-05-01 20:45:20.343,2022-05-01 21:08:52.840,"jw01024012001_02101_00001_mirimage, jw01024012001_02101_00002_mirimage, jw01024012001_02101_00003_mirimage, jw01024012001_02101_00004_mirimage",,True
1024,jw01024-o013_t002_miri_f2100w,image,science,MIRI/IMAGE,F2100W,No,Polygon 80.45507029800027 -69.48705100600012 80.50144064800014 -69.51499566900011 80.42016351000001 -69.53150702899998 80.37386352399986 -69.50354082200023,2022-05-01 21:16:52.949,2022-05-01 21:40:19.942,"jw01024013001_02101_00001_mirimage, jw01024013001_02101_00002_mirimage, jw01024013001_02101_00003_mirimage, jw01024013001_02101_00004_mirimage",,True
1024,jw01024-o014_t002_miri_f1065c,image,science,MIRI/IMAGE,F1065C,No,Polygon 80.45469485300026 -69.48720597699982 80.5009429620002 -69.51507806299988 80.42132283100015 -69.53125261399977 80.37514347200019 -69.50335947899995,2022-05-01 21:48:42.195,2022-05-01 21:59:34.373,"jw01024014001_02101_00001_mirimage, jw01024014001_02101_00002_mirimage",,True
1024,jw01024-o015_t002_miri_f1140c,image,science,MIRI/IMAGE,F1140C,No,Polygon 80.45473378599984 -69.48721829100016 80.50098293200008 -69.51509103499984 80.42136220900001 -69.53126566799975 80.37518181700008 -69.50337187300012,2022-05-01 22:07:03.954,2022-05-01 22:17:53.316,"jw01024015001_02101_00001_mirimage, jw01024015001_02101_00002_mirimage",,True
1024,jw01024-o016_t002_miri_f1550c,image,science,MIRI/IMAGE,F1550C,No,Polygon 80.45480441599979 -69.487246811 80.50095466299986 -69.5150612889998 80.421041649 -69.53129440000026 80.37496026699996 -69.50345884000008,2022-05-01 22:25:22.897,2022-05-01 22:36:12.259,"jw01024016001_02101_00001_mirimage, jw01024016001_02101_00002_mirimage",,True
1024,jw01024-o017_t002_miri_f2300c,image,science,MIRI/IMAGE,F2300C,No,Polygon 80.45509539200012 -69.48698283099998 80.50146417299976 -69.51492678800022 80.42018778500025 -69.53143796000005 80.37388936600013 -69.50347245999983,2022-05-01 22:43:44.592,2022-05-01 23:07:17.089,"jw01024017001_02101_00001_mirimage, jw01024017001_02101_00002_mirimage, jw01024017001_02101_00003_mirimage, jw01024017001_02101_00004_mirimage",,True
1027,jw01027-c1000_t004_miri_f560w,image,calibration,MIRI/IMAGE,F560W,No,Polygon 266.0344660900003 66.91293313599974 265.9962204859999 66.88375154199974 265.92111470200007 66.89887587600025 265.9592942000001 66.92807555100012,2022-05-25 04:48:27.951,2022-05-25 10:19:20.233,"jw01027001001_02101_00001_mirimage, jw01027001001_02102_00001_mirimage, jw01027001001_02103_00001_mirimage, jw01027002001_02101_00001_mirimage, jw01027002001_02102_00001_mirimage, jw01027002001_02103_00001_mirimage",,True
1027,jw01027-o001_t004_miri_f560w,image,calibration,MIRI/IMAGE,F560W,No,Polygon 266.0328269349997 66.91168407 265.996221813 66.88375171099996 265.92434902900027 66.89822568299985 265.96089360400015 66.92617460399987,2022-05-25 04:48:27.951,2022-05-25 07:26:27.571,"jw01027001001_02101_00001_mirimage, jw01027001001_02102_00001_mirimage, jw01027001001_02103_00001_mirimage",,True
1027,jw01027-o002_t004_miri_f560w,image,calibration,MIRI/IMAGE,F560W,No,Polygon 266.03123288900025 66.91358554199975 265.99477518200007 66.88562299400014 265.92281936200015 66.90003747600018 265.9592161560002 66.92801653699982,2022-05-25 07:42:36.158,2022-05-25 10:19:20.233,"jw01027002001_02101_00001_mirimage, jw01027002001_02102_00001_mirimage, jw01027002001_02103_00001_mirimage",,True
1027,jw01027-o003_t005_miri_f560w,image,science,MIRI/IMAGE,F560W,No,Polygon 265.8113521430003 66.92587023700013 265.7738701650003 66.89673818200025 265.6992765929999 66.91146895500003 265.7366921130001 66.94061860099998,2022-05-25 10:34:23.618,2022-05-25 10:40:24.360,"jw01027003001_02101_00001_mirimage, jw01027003001_02101_00002_mirimage, jw01027003001_02101_00003_mirimage, jw01027003001_02101_00004_mirimage",,True
