Proposal,Observation,Instrument,Filter,Moving,Polygon,Exp Start,Exp End,Asteroids
1282,jw01282-o021_t025_miri_f1280w,MIRI,F1280W,No,Polygon 237.34740348199978 -26.02114832499997 237.3147094340001 -26.008988223999975 237.32846336499995 -25.979123677999993 237.36115052500017 -25.991280688,2023-04-03 02:08:37.749,2023-04-03 03:11:59.661,
1282,jw01282-o022_t026_miri_f1280w,MIRI,F1280W,No,Polygon 260.20018615000015 -26.05865956000001 260.23520542200004 -26.063256094000018 260.2300076240002 -26.095233606999997 260.19497899 -26.090635817000017,2023-09-09 08:18:20.704,2023-09-09 09:12:38.680,
1282,jw01282-o023_t027_miri_f1280w,MIRI,F1280W,No,Polygon 69.85625543900018 22.35686674699999 69.82192861900015 22.355055065999984 69.81993300700029 22.387324574000004 69.85426775899995 22.389136675000024,2023-10-14 16:27:54.784,2023-10-14 17:56:06.908,
1282,jw01282-o024_t028_miri_f1280w,MIRI,F1280W,No,Polygon 195.11399591300002 -77.15704856999986 195.22390761199995 -77.17737051600028 195.13057932699996 -77.20223543200018 195.02060377700005 -77.18187472499984,2022-08-08 08:17:27.343,2022-08-08 09:40:56.395,
1282,jw01282-o027_t063_miri_f1280w,MIRI,F1280W,No,Polygon 247.01890099500017 -24.528975574 247.05255894800007 -24.535898191000026 247.0448767549997 -24.566818862000034 247.01121092800014 -24.55989453900001,2023-08-28 02:06:56.756,2023-08-28 02:29:44.852,
1282,jw01282-o028_t031_miri_f1280w,MIRI,F1280W,No,Polygon 239.0000699029997 -37.93287044900001 239.0393983899999 -37.93984704099999 239.0304110789999 -37.97137729899998 238.9910665639999 -37.964397712,2023-08-13 13:15:31.101,2023-08-13 14:09:12.981,
1282,jw01282-o029_t032_miri_f1280w,MIRI,F1280W,No,Polygon 236.64975822199992 -34.506901216 236.68724973000002 -34.51440935000001 236.67798238299974 -34.54584304500003 236.64047755899975 -34.53833207599998,2022-08-08 12:53:15.999,2022-08-08 14:16:53.371,['2016 DO25']
1282,jw01282-o030_t033_miri_f1280w,MIRI,F1280W,No,Polygon 164.0603506650001 -77.16776094299975 164.1107142470002 -77.19749501299984 163.9739596470001 -77.2088515239999 163.92386424400024 -77.17909155700019,2022-08-08 06:23:46.165,2022-08-08 07:47:29.106,
1282,jw01282-o031_t034_miri_f1280w,MIRI,F1280W,No,Polygon 166.90520663000004 -77.68651083700024 166.99422931999993 -77.71199137300007 166.8722946209998 -77.73128089799974 166.7833835659999 -77.70576099799972,2023-07-24 16:48:23.028,2023-07-24 17:42:29.932,
1282,jw01282-o032_t064_miri_f1280w,MIRI,F1280W,No,Polygon 167.47514642499996 -77.59093223400004 167.5006713260002 -77.62184471800003 167.35499161700008 -77.62734483000013 167.32981306000013 -77.59641885299989,2022-08-24 02:21:39.054,2022-08-24 02:26:35.983,
1282,jw01282-o034_t037_miri_f1280w,MIRI,F1280W,No,Polygon 23.68882984400002 -15.67029856900001 23.655860257000004 -15.672155779000013 23.65390247200001 -15.639888684 23.686866873000028 -15.638031767000015,2023-08-13 22:16:53.719,2023-08-13 23:45:50.195,
1282,jw01282-o035_t058_miri_f1280w,MIRI,F1280W,No,Polygon 75.5843466410002 7.455638341999998 75.61639659700023 7.456578017000017 75.61735864599993 7.424275530999981 75.58531104800025 7.423335925999992,2023-03-04 12:18:34.363,2023-03-04 13:44:58.199,['2005 RZ61']
1282,jw01282-o036_t039_miri_f1280w,MIRI,F1280W,No,Polygon 224.1897579409998 -35.69237036700001 224.22768563799988 -35.70024713900001 224.21782054900004 -35.73158741 224.17987891099997 -35.72370754000001,2022-08-01 06:12:05.957,2022-08-01 07:36:36.065,
1282,jw01282-o037_t040_miri_f1280w,MIRI,F1280W,No,Polygon 233.84948110200014 -25.74176982200002 233.81688069099977 -25.729573325 233.83064318100017 -25.699723781999978 233.863236822 -25.711917218000025,2023-03-22 04:36:38.615,2023-03-22 06:02:09.779,['2285 T-2']
1282,jw01282-o039_t042_miri_f1280w,MIRI,F1280W,No,Polygon 281.2946222030003 -64.88118368099975 281.36860433599975 -64.876247336 281.3804804870001 -64.90816936800017 281.30641250100024 -64.9131115860001,2023-09-18 11:19:54.210,2023-09-18 12:16:25.370,
1282,jw01282-o043_t046_miri_f1280w,MIRI,F1280W,No,Polygon 69.59485404399996 26.201337325000026 69.55955742800008 26.198480294 69.55631506000017 26.230671770000015 69.59162136299977 26.233529592000018,2023-10-01 19:36:28.430,2023-10-01 21:05:08.266,
1282,jw01282-o044_t047_miri_f1280w,MIRI,F1280W,No,Polygon 69.78915621999998 23.607018219000015 69.75452955099989 23.604914397999988 69.75219096899977 23.637165937000024 69.78682612600005 23.63927027499998,2023-10-01 21:42:58.310,2023-10-01 23:11:21.570,
1282,jw01282-o046_t049_miri_f1280w,MIRI,F1280W,No,Polygon 239.6565099340001 -23.174449186000015 239.623751688 -23.16424351399999 239.63503630000002 -23.133632017999993 239.66778792100027 -23.143835358000025,2023-04-04 03:38:25.525,2023-04-04 05:03:56.690,
1282,jw01282-o047_t050_miri_f1280w,MIRI,F1280W,No,Polygon 241.35215188100025 -19.55025540500003 241.38451385199997 -19.55924611 241.374807405 -19.590274012999977 241.342439744 -19.581281577000027,2022-08-01 08:20:35.197,2022-08-01 09:45:10.874,
1282,jw01282-o048_t051_miri_f1280w,MIRI,F1280W,No,Polygon 166.76006710400029 -77.57063682299977 166.80202759700026 -77.60109294100002 166.65748040600022 -77.61025257200015 166.61583851100022 -77.57977434500016,2022-08-15 22:17:03.563,2022-08-15 23:41:50.311,
1282,jw01282-o051_t054_miri_f1280w,MIRI,F1280W,No,Polygon 167.05198627500013 -77.23786630299999 167.0933681960001 -77.26828955399995 166.9526929390001 -77.27756235400001 166.911611627 -77.24711734799997,2022-08-16 00:10:33.668,2022-08-16 01:35:03.777,
1282,jw01282-o052_t055_miri_f1280w,MIRI,F1280W,No,Polygon 167.15734204700013 -76.39304870299978 167.196240506 -76.42346878199997 167.06418840600014 -76.4327539820002 167.0255538760002 -76.4023135209999,2022-08-16 02:06:11.453,2022-08-16 03:30:44.314,
1282,jw01282-o053_t056_miri_f1280w,MIRI,F1280W,No,Polygon 81.89787851000013 -8.330483480999973 81.92998350000015 -8.331793841000005 81.92863856199986 -8.36408336500002 81.89653092299996 -8.362772895999981,2023-03-14 16:29:59.000,2023-03-14 18:00:04.916,
1282,jw01282-o054_t003_miri_f1280w,MIRI,F1280W,No,Polygon 228.90908013600006 -37.14436792899998 228.94564625999993 -37.156031747000014 228.93086923799987 -37.185464333999974 228.89429115499976 -37.17379597399998,2022-08-23 09:50:21.262,2022-08-23 10:04:27.656,
1282,jw01282-o055_t057_miri_f1280w,MIRI,F1280W,No,Polygon 228.9148185480003 -37.147762380999986 228.95170659399986 -37.159534631 228.93687902500028 -37.18905086899998 228.89997888200006 -37.17727401999999,2022-08-23 10:15:42.028,2022-08-23 11:15:49.636,
1282,jw01282-o063_t062_miri_f1280w,MIRI,F1280W,No,Polygon 63.66652871000012 26.796052685 63.70201878899994 26.798743872999996 63.70507756499989 26.76654295200003 63.66959747899994 26.76385252800001,2023-02-20 10:45:25.817,2023-02-20 12:11:08.117,
1282,jw01282-o064_t060_miri_f1280w,MIRI,F1280W,No,Polygon 242.05470501100015 -39.079248055 242.09515070199993 -39.08425875100002 242.0885890439999 -39.116203159 242.048125492 -39.111190191999995,2022-08-08 14:45:53.365,2022-08-08 15:49:15.254,
1282,jw01282-o065_t061_miri_f1280w,MIRI,F1280W,No,Polygon 242.11155006100012 -39.383556021999986 242.15214126200019 -39.38871130799998 242.14536068899972 -39.42063190200002 242.10475140899996 -39.415474255999975,2022-08-09 22:28:53.532,2022-08-09 23:52:22.585,
1282,jw01282-o072_t030_miri_f1280w,MIRI,F1280W,No,Polygon 247.0242126560002 -24.525391672999973 247.05806854300002 -24.532760325999973 247.04993931800036 -24.56368127999999 247.01607556300024 -24.556310810000017,2023-08-28 02:53:34.065,2023-08-28 04:22:00.077,
